data,media,pico,fator
2016-02-01,14498.166666666666,16227.0,0.8934594605698322
2016-02-02,15088.166666666666,17033.0,0.8858196833597526
2016-02-03,14258.333333333334,15659.0,0.9105519722417353
2016-02-04,15892.958333333334,17683.0,0.8987704763520519
2016-02-05,16421.125,18831.0,0.8720261802347193
2016-02-06,15220.708333333334,16895.0,0.9009001677024762
2016-02-07,14664.541666666666,16068.0,0.9126550701186623
2016-02-08,16337.583333333334,17940.0,0.9106791155704199
2016-02-09,18011.916666666668,20014.0,0.89996585723327
2016-02-10,19196.875,20796.0,0.9231042027312945
2016-02-11,19147.125,21135.0,0.9059439318665721
2016-02-12,18617.958333333332,20362.0,0.9143482139933863
2016-02-13,17626.291666666668,18856.0,0.9347842419742611
2016-02-14,18012.333333333332,18958.0,0.950117804269086
2016-02-15,17488.958333333332,18503.0,0.9451958241005962
2016-02-16,16887.5,17982.0,0.9391335780224669
2016-02-17,16549.083333333332,17828.0,0.9282635928501981
2016-02-18,16415.583333333332,18479.0,0.8883372116095748
2016-02-19,15445.833333333334,17989.0,0.8586265680879056
2016-02-20,12774.625,13757.0,0.9285908991785999
2016-02-21,12650.208333333334,14425.0,0.8769641825534373
2016-02-22,14760.625,16273.0,0.9070623118048301
2016-02-23,15012.625,16759.0,0.8957947968255863
2016-02-24,15070.708333333334,16424.0,0.9176027967202468
2016-02-25,16469.25,18222.0,0.9038113269674021
2016-02-26,16656.0,18238.0,0.9132580326790218
2016-02-27,14590.916666666666,15903.0,0.9174946026955082
2016-02-28,13233.708333333334,14435.0,0.9167792402724859
2016-02-29,13966.5,15489.0,0.9017044354057718
2016-03-01,14857.083333333334,16852.0,0.8816213703615793
2016-03-02,16152.916666666666,17826.0,0.9061436478551927
2016-03-03,17176.333333333332,18664.0,0.9202921845977996
2016-03-04,16292.791666666666,17644.0,0.9234182536084032
2016-03-05,14801.166666666666,15840.0,0.9344170875420875
2016-03-06,13876.458333333334,15218.0,0.911845073816095
2016-03-07,14738.0,16927.0,0.870679978732203
2016-03-08,13727.375,15353.0,0.8941167849931609
2016-03-09,13474.833333333334,14679.0,0.9179667098122034
2016-03-10,13501.666666666666,14951.0,0.9030611107395269
2016-03-11,13101.625,14378.0,0.9112272221449437
2016-03-12,12073.291666666666,12901.0,0.9358415368317701
2016-03-13,11889.782608695652,13634.0,0.872068549852989
2016-03-14,13325.083333333334,14487.0,0.9197959089758635
2016-03-15,13301.875,14475.0,0.9189550949913644
2016-03-16,13211.291666666666,14517.0,0.9100566003076852
2016-03-17,13424.583333333334,15078.0,0.8903424415262856
2016-03-18,13426.791666666666,15566.0,0.8625717375476465
2016-03-19,13088.875,14371.0,0.9107838702943428
2016-03-20,13420.25,14990.0,0.8952801867911941
2016-03-21,14846.208333333334,17330.0,0.8566767647624544
2016-03-22,14314.416666666666,16812.0,0.8514404393687048
2016-03-23,13226.0,14825.0,0.8921416526138279
2016-03-24,13251.375,14550.0,0.9107474226804124
2016-03-25,12676.333333333334,14009.0,0.9048706783734266
2016-03-26,12034.083333333334,13382.0,0.8992739002640363
2016-03-27,11259.416666666666,12299.0,0.9154741577906063
2016-03-28,13057.541666666666,14714.0,0.8874229758506638
2016-03-29,13626.333333333334,15302.0,0.8904936173920621
2016-03-30,13896.541666666666,15805.0,0.8792497100073816
2016-03-31,13188.875,14377.0,0.9173593239201503
2016-04-01,12803.958333333334,13883.0,0.9222760450430983
2016-04-02,12456.166666666666,14022.0,0.8883302429515523
2016-04-03,13030.416666666666,14257.0,0.913966238806668
2016-04-04,13860.791666666666,15395.0,0.9003437263180686
2016-04-05,14684.541666666666,16784.0,0.8749131116936765
2016-04-06,14669.166666666666,16863.0,0.8699025479847398
2016-04-07,14262.041666666666,15899.0,0.8970401702413149
2016-04-08,14504.666666666666,16014.0,0.9057491361725156
2016-04-09,14383.416666666666,15744.0,0.9135808350271002
2016-04-10,13944.125,15322.0,0.9100721185223861
2016-04-11,13666.666666666666,14961.0,0.9134861751665441
2016-04-12,13547.041666666666,14914.0,0.908343949756381
2016-04-13,13863.875,16077.0,0.8623421658269578
2016-04-14,13690.833333333334,15717.0,0.8710843884541155
2016-04-15,13062.875,14827.0,0.8810194240237404
2016-04-16,11715.375,12415.0,0.9436467982279501
2016-04-17,11565.25,13398.0,0.8632071951037469
2016-04-18,13428.75,15282.0,0.8787298782881822
2016-04-19,13279.958333333334,14692.0,0.9038904392413105
2016-04-20,13207.041666666666,14574.0,0.9062056859247061
2016-04-21,13089.833333333334,14279.0,0.9167191913532694
2016-04-22,12754.333333333334,14021.0,0.909659320542995
2016-04-23,11366.958333333334,12344.0,0.9208488604450206
2016-04-24,11431.208333333334,12951.0,0.882650631868839
2016-04-25,13114.166666666666,14778.0,0.8874114674967293
2016-04-26,13623.666666666666,15346.0,0.8877666275685303
2016-04-27,13097.458333333334,14371.0,0.9113811379398326
2016-04-28,13409.5,14769.0,0.907949082537748
2016-04-29,12901.541666666666,14106.0,0.9146137577390235
2016-04-30,11754.708333333334,12647.0,0.9294463772699718
2016-05-01,11646.625,13166.0,0.8845985872702415
2016-05-02,13005.208333333334,14664.0,0.8868800009092562
2016-05-03,12979.791666666666,14079.0,0.9219256812747118
2016-05-04,12990.916666666666,14159.0,0.9175024130706029
2016-05-05,13338.083333333334,14363.0,0.9286418807584302
2016-05-06,12916.208333333334,14008.0,0.9220594184275652
2016-05-07,11605.666666666666,12267.0,0.946088421510285
2016-05-08,11171.083333333334,12563.0,0.8892050730982515
2016-05-09,13039.666666666666,14400.0,0.9055324074074074
2016-05-10,13335.125,14477.0,0.9211248877529875
2016-05-11,13377.791666666666,14765.0,0.9060475222937125
2016-05-12,13706.958333333334,15427.0,0.8885044618742033
2016-05-13,12857.416666666666,14098.0,0.9120028845699153
2016-05-14,11675.5,12560.0,0.929578025477707
2016-05-15,11634.75,13008.0,0.8944303505535055
2016-05-16,13200.291666666666,14636.0,0.9019056891682609
2016-05-17,13082.25,14230.0,0.9193429374560788
2016-05-18,13005.333333333334,13994.0,0.9293506740984232
2016-05-19,13039.5,14063.0,0.9272203654981156
2016-05-20,12753.958333333334,13978.0,0.9124308437067774
2016-05-21,11669.541666666666,12488.0,0.934460415332052
2016-05-22,11276.791666666666,12674.0,0.889757903319131
2016-05-23,13150.708333333334,14713.0,0.8938155599356579
2016-05-24,13795.208333333334,15809.0,0.8726173909376516
2016-05-25,14179.625,16560.0,0.8562575483091788
2016-05-26,14864.708333333334,17337.0,0.8573979542789025
2016-05-27,15157.875,18402.0,0.823708020867297
2016-05-28,13977.458333333334,16747.0,0.834624609382775
2016-05-29,13011.333333333334,15289.0,0.8510257919637212
2016-05-30,13433.0,16699.0,0.8044194263129528
2016-05-31,15434.5,19271.0,0.8009184785428882
2016-06-01,15754.625,19252.0,0.8183370558902971
2016-06-02,15627.25,18371.0,0.8506477600566109
2016-06-03,15453.875,18455.0,0.837381468436738
2016-06-04,13769.25,15948.0,0.8633841234010534
2016-06-05,13068.5,15016.0,0.8703050079914758
2016-06-06,14709.75,17746.0,0.8289051053758594
2016-06-07,14182.625,16284.0,0.8709546180299681
2016-06-08,13203.0,14691.0,0.8987134980600368
2016-06-09,13591.416666666666,15683.0,0.866633722289528
2016-06-10,14730.208333333334,17719.0,0.8313227796903513
2016-06-11,15540.166666666666,19381.0,0.8018248112412499
2016-06-12,14828.166666666666,17349.0,0.8546986377697081
2016-06-13,14829.5,18093.0,0.8196263748410988
2016-06-14,15234.958333333334,18569.0,0.8204512000287217
2016-06-15,16247.0,20132.0,0.8070236439499304
2016-06-16,16191.958333333334,19503.0,0.8302291100514451
2016-06-17,15176.75,17917.0,0.8470586593737791
2016-06-18,14114.708333333334,17393.0,0.8115166062975527
2016-06-19,14044.541666666666,17574.0,0.7991659079701073
2016-06-20,16629.625,20292.0,0.8195163118470333
2016-06-21,16367.75,19115.0,0.8562777923097045
2016-06-22,14974.625,17157.0,0.8727997318878592
2016-06-23,15599.708333333334,18572.0,0.8399584499964105
2016-06-24,15279.041666666666,18353.0,0.832509217384987
2016-06-25,14641.541666666666,18375.0,0.7968185941043083
2016-06-26,15231.375,19260.0,0.7908294392523364
2016-06-27,16939.708333333332,20336.0,0.8329911650931024
2016-06-28,15866.208333333334,18602.0,0.8529302404759345
2016-06-29,14667.041666666666,17275.0,0.8490328027013989
2016-06-30,14610.625,17707.0,0.8251327158750776
2016-07-01,14452.208333333334,17196.0,0.8404401217337366
2016-07-02,12635.625,14719.0,0.8584567565731368
2016-07-03,11744.125,13056.0,0.8995193780637255
2016-07-04,12048.0,13918.0,0.865641615174594
2016-07-05,15281.458333333334,19066.0,0.801503111996923
2016-07-06,16245.208333333334,19451.0,0.8351862800541532
2016-07-07,16394.375,19263.0,0.8510810880963505
2016-07-08,16275.666666666666,19257.0,0.8451818386387634
2016-07-09,14523.833333333334,17003.0,0.8541923974200631
2016-07-10,14078.041666666666,17621.0,0.7989354558008437
2016-07-11,16611.125,20984.0,0.7916090831109417
2016-07-12,17243.375,21235.0,0.8120261360960678
2016-07-13,17532.708333333332,21160.0,0.8285778985507246
2016-07-14,16966.666666666668,20535.0,0.826231637042448
2016-07-15,16504.875,19861.0,0.8310193343738986
2016-07-16,14476.458333333334,17284.0,0.8375641248167863
2016-07-17,14745.958333333334,18629.0,0.7915593071734035
2016-07-18,17196.625,20585.0,0.8353959193587563
2016-07-19,17310.333333333332,21061.0,0.8219141224696516
2016-07-20,17059.791666666668,21110.0,0.8081379283120165
2016-07-21,17271.458333333332,21045.0,0.8206917716005385
2016-07-22,17314.708333333332,20468.0,0.8459404110481401
