hora,mae_v1,mae_v2,improvement
6,431.8350318481559,430.5412827312959,1.293749116859999
7,668.7077074826789,667.7246501180709,0.9830573646079301
18,286.13423829906475,285.47401513718484,0.6602231618799124
12,398.3806642563064,397.7224489958609,0.6582152604455018
14,340.4826452956574,340.0425451492195,0.4401001464378851
20,316.79178395207066,316.407720558848,0.38406339322267513
13,384.1878732113524,383.8502038777878,0.33766933356457685
21,347.7748623094389,347.4490175165407,0.3258447928981809
0,669.8420649308599,669.5312923607021,0.31077257015783744
11,433.0322140624562,432.86210194281523,0.17011211964097583
23,686.9851567395478,686.8846232796265,0.10053345992139384
10,402.80402975750974,402.7648026031116,0.039227154398133735
19,318.82383602157546,319.03744704344103,-0.21361102186557446
1,537.637033730414,537.9058052314472,-0.26877150103314307
8,530.3034772148914,530.5753742764333,-0.27189706154194937
16,280.997941418222,281.2928294421603,-0.2948880239383129
22,323.5648198585559,323.9323605327435,-0.3675406741875804
17,249.45857846758702,249.98513242778407,-0.5265539601970488
9,399.3156932290257,399.9131586432829,-0.597465414257158
4,223.08843797739746,223.70767134138964,-0.6192333639921799
5,202.73056861878862,203.42376665050813,-0.6931980317195041
15,299.47961566931247,300.3714429929324,-0.891827323619907
3,291.10157506680497,292.4079703396687,-1.3063952728637105
2,383.1189779421794,384.4494389202864,-1.3304609781069985
